,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
WASHC31,6.13027590067266e-39,0.366664171818334,0.345,0.153,1.58093685202447e-34,15,WASHC3
TBL1XR11,6.16315715902146e-39,0.385455800836426,0.424,0.205,1.58941659974004e-34,15,TBL1XR1
KLRK14,9.7791217492662e-39,0.556861535461308,0.494,0.271,2.52193770791826e-34,15,KLRK1
ESYT21,1.48182699376036e-38,0.440139386719284,0.485,0.254,3.82148363420858e-34,15,ESYT2
RAD23B1,1.61825349517807e-38,0.395560723545568,0.361,0.164,4.17331393871472e-34,15,RAD23B
ESYT11,1.77794083621037e-38,0.349395652845718,0.352,0.158,4.58513162250293e-34,15,ESYT1
TRBC2,2.68134299400223e-38,0.759499966312976,0.822,0.699,6.91491544723235e-34,15,TRBC2
AC004687.12,2.87491801098163e-38,0.327814550239834,0.395,0.18,7.41412605852053e-34,15,AC004687.1
RTRAF1,2.91080301817379e-38,0.480387948075961,0.683,0.475,7.50666990356838e-34,15,RTRAF
TIMM8B1,3.73993218557302e-38,0.309554808869681,0.314,0.132,9.64491111337426e-34,15,TIMM8B
DRAP13,4.5796671219238e-38,0.468577381797434,0.707,0.476,1.18105035407293e-33,15,DRAP1
PHF111,5.86391029487432e-38,0.371584758059575,0.407,0.194,1.51224382594514e-33,15,PHF11
SERF21,8.00098312491749e-38,0.331948854090964,0.968,0.948,2.06337353808497e-33,15,SERF2
MT-CO3,8.14774564929905e-38,0.31011792584839,1,1,2.10122212549773e-33,15,MT-CO3
PFDN41,9.15827219726422e-38,0.35131236401039,0.405,0.19,2.36182681695247e-33,15,PFDN4
CD3E,9.62677772220355e-38,0.41427332917798,0.931,0.808,2.48264970677907e-33,15,CD3E
ATP5MF2,1.38254223018132e-37,0.465428400752155,0.608,0.382,3.56543815741461e-33,15,ATP5MF
UBE2R2,1.61553123764768e-37,0.388474199299327,0.41,0.199,4.16629350876959e-33,15,UBE2R2
PACS1,2.2468538086641e-37,0.445283943145324,0.445,0.23,5.79441128716385e-33,15,PACS1
FBXO32,2.46021041727905e-37,0.328096729674506,0.268,0.107,6.34463664512094e-33,15,FBXO32
FAM32A1,2.71457231419806e-37,0.317548262932752,0.384,0.176,7.00061054108538e-33,15,FAM32A
SNX9,3.69353391342247e-37,0.355993790606591,0.276,0.113,9.52525460932521e-33,15,SNX9
TACC31,5.26425166021177e-37,0.299448818993405,0.293,0.121,1.35759786065201e-32,15,TACC3
UQCR101,5.91056229500222e-37,0.482383862617997,0.721,0.53,1.52427491025812e-32,15,UQCR10
DNAJC12,8.41969720797977e-37,0.378589407223447,0.402,0.192,2.1713557129659e-32,15,DNAJC1
PCID2,8.69413917262925e-37,0.293762345129165,0.337,0.146,2.24213155122936e-32,15,PCID2
GID8,1.18619063520675e-36,0.340480599613617,0.346,0.154,3.05906702913469e-32,15,GID8
ELOVL51,1.20945987606051e-36,0.284417855319502,0.326,0.138,3.11907607437245e-32,15,ELOVL5
SH3BGRL31,1.27213287902317e-36,0.363565381677868,0.962,0.905,3.28070348171284e-32,15,SH3BGRL3
YWHAZ2,1.50764269486542e-36,0.417247059154413,0.88,0.737,3.88805974578843e-32,15,YWHAZ
NLRC51,1.83903762352834e-36,0.413873118208297,0.454,0.23,4.74269412731725e-32,15,NLRC5
ZEB1,2.41498823674648e-36,0.38330303379528,0.323,0.145,6.2280131637455e-32,15,ZEB1
TAX1BP1,2.48967465971558e-36,0.443356191967533,0.681,0.425,6.42062197994052e-32,15,TAX1BP1
ETS1,2.98954975958865e-36,0.485603393010421,0.819,0.613,7.70974987500317e-32,15,ETS1
ATP6V1D1,3.24197230258976e-36,0.264391535431997,0.308,0.128,8.36072237114875e-32,15,ATP6V1D
CPNE11,3.42196791270502e-36,0.420602248251772,0.518,0.283,8.82491305007498e-32,15,CPNE1
NDUFA131,3.43926204350351e-36,0.434733968001866,0.828,0.68,8.86951288399119e-32,15,NDUFA13
TOP2B,3.71814535349517e-36,0.383278511440841,0.415,0.202,9.5887250521287e-32,15,TOP2B
NUDT11,4.6928622128093e-36,0.321901271553096,0.34,0.152,1.21024223606139e-31,15,NUDT1
MTRNR2L62,4.72314429688848e-36,0.46343964315573,0.633,0.384,1.21805168272457e-31,15,MTRNR2L6
ZNF7061,5.16695380198377e-36,0.455550645411274,0.572,0.339,1.3325057159936e-31,15,ZNF706
LYPLA11,5.24757724342123e-36,0.290532872221317,0.335,0.147,1.3532976953059e-31,15,LYPLA1
UQCRFS11,5.25104552328239e-36,0.447855820872022,0.611,0.38,1.3541921299993e-31,15,UQCRFS1
PPP1CC1,5.70686952759854e-36,0.453660859404944,0.529,0.3,1.47174458247239e-31,15,PPP1CC
